,actual,predicted,prob_fraud
0,0,0,6.890375718194895e-11
1,0,0,8.103605024301125e-41
2,0,0,8.190860496407477e-18
3,0,0,1.1371845068083046e-14
4,0,0,3.3868355323767394e-23
5,0,0,4.159912793660028e-19
6,0,0,1.2891748670916615e-36
7,0,0,9.49993601370491e-33
8,0,0,3.247199239644791e-21
9,0,0,2.2307967367566717e-25
10,0,0,3.0357377200915587e-35
11,0,0,4.0955725042075186e-18
12,1,1,0.9999999999993872
13,0,0,4.5543703063275025e-26
14,0,0,5.2037606229591557e-39
15,0,0,7.987707123234093e-16
16,0,0,0.0017818315290619624
17,0,0,0.00017301350971247705
18,1,1,1.0
19,0,0,3.239159218658718e-11
20,0,0,8.80059935099975e-26
21,0,0,1.324126507962058e-46
22,0,1,0.9809205858334926
23,0,0,6.419026105821085e-10
24,0,0,2.5149625710840795e-22
25,0,0,2.184910139564878e-39
26,0,0,3.826562934479657e-23
27,0,0,8.025217838436306e-20
28,0,0,1.1538317204588566e-74
29,0,0,7.778526914071005e-08
30,0,0,9.763364308025947e-20
31,0,0,6.851246227875638e-27
32,0,0,6.264621325910691e-41
33,0,0,4.439130711794987e-53
34,0,0,2.860396119261212e-20
35,0,0,1.747355937092059e-42
36,0,0,2.825256320341728e-47
37,0,0,6.858139045208143e-35
38,0,0,1.3797846523466367e-26
39,0,0,4.532171333661691e-20
40,0,0,2.784762594618256e-18
41,0,0,7.328755095383205e-27
42,0,0,2.0379871263103818e-61
43,0,0,2.2181780555149504e-48
44,0,0,4.386448621583416e-47
45,0,0,3.977904797497054e-45
46,0,0,4.439130711794987e-53
47,0,0,3.849966314758921e-28
48,0,0,0.4114134536038865
49,0,0,2.958569447658088e-34
50,0,0,2.229859426412864e-37
51,0,0,1.4252297521728427e-24
52,0,0,2.6705337338517803e-19
53,0,0,2.975753316327919e-39
54,0,0,2.2596870843687753e-13
55,0,0,3.575869196663998e-23
56,0,0,1.2101661008888955e-16
57,0,0,2.1069689809694053e-15
58,0,0,1.7972150625754993e-28
59,0,0,4.439130711794987e-53
60,0,0,3.2280542894684397e-16
61,0,0,3.390398182559727e-30
62,0,0,5.396362800432923e-23
63,0,0,4.674651829600083e-27
64,0,0,5.925481424784351e-26
65,0,0,8.932835353502295e-37
66,0,0,7.48316336115413e-23
67,0,0,1.3434118947937558e-21
68,0,0,1.6903897462624736e-58
69,0,0,4.486679296591637e-24
70,0,0,9.049348918483745e-36
71,0,0,4.854998743048155e-34
72,0,0,1.0276952748640661e-09
73,0,0,1.5771164053126577e-43
74,0,0,7.713919431996756e-26
75,0,0,1.5167285415710264e-19
76,0,0,5.428060095393354e-28
77,1,1,0.9999999999998419
78,0,0,6.178082077389752e-46
79,0,0,2.1346901827352933e-36
80,0,0,4.982761326593136e-08
81,0,0,2.9776172286246203e-33
82,0,0,6.170583568481628e-13
83,0,0,8.525889749898938e-31
84,0,0,1.9081729051319517e-55
85,0,0,5.498882917144724e-24
86,0,0,2.0541109436598564e-22
87,0,0,4.5310696718893535e-24
88,1,0,3.2118277023405147e-07
89,0,0,1.384113190451965e-23
90,0,0,0.024700947423526028
91,0,0,9.009417544983229e-09
92,0,0,1.9015496338025231e-31
93,0,0,2.0192747850826704e-22
94,1,1,0.9999999921922581
95,0,0,4.5755089282528356e-32
96,0,0,2.5252527142879533e-43
97,0,0,5.690863577651156e-16
98,0,0,6.049047970119888e-36
99,0,0,8.3513740528554e-21
100,0,0,2.3163099023805423e-46
101,0,0,9.2836981173539e-10
102,0,0,1.3088522486742003e-29
103,0,0,1.1187455038964336e-20
104,0,0,6.876513682211851e-37
105,0,0,4.39869771135213e-22
106,0,0,2.036559529603641e-12
107,0,0,6.374365099063318e-31
108,0,0,3.663771126085723e-08
109,0,0,1.077158292827644e-12
110,0,0,1.5260590065313152e-17
111,0,0,2.443378988946889e-09
112,0,0,2.0265570600392703e-10
113,0,0,4.439130711794987e-53
