,actual,predicted,prob_fraud
0,0,0,1.4800897934059985e-07
1,0,0,1.7093815301689363e-09
2,0,0,9.208032288109898e-09
3,0,0,2.6635528150015537e-07
4,0,0,3.680587475833431e-15
5,0,0,8.251916660734395e-13
6,0,0,1.5047994153291276e-15
7,0,0,1.2345498240243323e-18
8,0,0,2.447868449795629e-15
9,0,0,7.356195764917539e-11
10,0,0,1.427285616036905e-13
11,0,0,1.013063143278242e-11
12,1,1,1.0
13,0,0,3.4622326099538813e-13
14,0,0,7.083707099200343e-19
15,0,0,3.2311777951194006e-16
16,0,0,3.6169084710681624e-06
17,0,0,3.3906670198385786e-07
18,1,1,0.9999999982804733
19,0,0,3.755893530616376e-12
20,0,0,7.990385186467874e-10
21,0,0,6.439896992760377e-16
22,0,0,0.010060377277938667
23,0,0,6.961916221719918e-09
24,0,0,6.256295940350983e-13
25,0,0,1.726509273246609e-14
26,0,0,2.7997348230034237e-12
27,0,0,7.812155585779238e-14
28,0,0,7.198155578188593e-23
29,0,0,4.5613802302196786e-06
30,0,0,1.2188058878091313e-11
31,0,0,5.466827872863161e-10
32,0,0,1.4930798843630615e-18
33,0,0,1.4016422303117098e-35
34,0,0,1.0072758331380648e-09
35,0,0,1.580528756588837e-14
36,0,0,9.1555482223818e-19
37,0,0,1.8303830799049025e-14
38,0,0,1.0238721152200514e-40
39,0,0,1.3077750381545512e-10
40,0,0,4.398473374877789e-14
41,0,0,4.0120168352296384e-13
42,0,0,3.996133041078133e-19
43,0,0,2.3135711166662448e-30
44,0,0,9.279959383603273e-20
45,0,0,3.39466597664495e-26
46,0,0,1.4016422303117098e-35
47,0,0,2.311889552086574e-21
48,0,0,0.009971130079418827
49,0,0,3.907406015530176e-15
50,0,0,1.5967061595777675e-22
51,0,0,1.7687732120931714e-11
52,0,0,6.404133349519338e-12
53,0,0,5.436711111987976e-15
54,0,0,3.0450958803970427e-10
55,0,0,6.834864888707664e-10
56,0,0,1.0734321764407873e-09
57,0,0,1.998408414560529e-09
58,0,0,1.5491325220924515e-13
59,0,0,1.4016422303117098e-35
60,0,0,4.098600756013738e-10
61,0,0,1.2241391555214778e-09
62,0,0,4.603479061961191e-12
63,0,0,7.827021158698512e-23
64,0,0,1.6914375057741126e-18
65,0,0,4.987079711963932e-17
66,0,0,8.716474192941548e-07
67,0,0,8.708535649028478e-15
68,0,0,9.405876773935015e-18
69,0,0,9.253041866837433e-13
70,0,0,1.3885071741182428e-11
